metric,encoder_a,encoder_b,contrast,r_seed1,r_seed2,r_seed3,mean_r,sd_r,n_meaningful_seeds,claimed_robust,verdict_unstable
adj_per_noun,clip,dinov2,clip_vs_dinov2,0.033813711994874,0.02032846601616,0.0315047397888791,0.028548972599971034,0.00721216919746581,0,False,False
adj_per_noun,clip,mae,clip_vs_mae,0.0432151071729382,0.0248134375990378,0.0059093975904191,0.024645980787465036,0.018653418539281773,0,False,False
adj_per_noun,clip,siglip,clip_vs_siglip,0.0100597747370627,9.05027028339044e-05,0.01707453931333,0.009074938917742201,0.008534740833202284,0,False,False
adj_per_noun,dinov2,mae,dinov2_vs_mae,0.0144976967313416,0.0022103149329701,0.0190156279355638,0.011907879866625165,0.008696838495876732,0,False,False
adj_per_noun,siglip,dinov2,siglip_vs_dinov2,0.0215032169798822,0.0179979366486871,0.0535471067912394,0.031016086806602897,0.01959099011564073,0,False,False
adj_per_noun,siglip,mae,siglip_vs_mae,0.0404267316873723,0.0233142494951768,0.0248971163343111,0.02954603250562007,0.009456139691779384,0,False,False
caption_length,clip,dinov2,clip_vs_dinov2,0.0193997716105728,0.0506092832838583,0.023819323702392,0.03127612619894103,0.016888200979549035,0,False,False
caption_length,clip,mae,clip_vs_mae,0.0097154174376054,0.0370540672991838,0.0196920398342767,0.02215384152368863,0.013834586901385552,0,False,False
caption_length,clip,siglip,clip_vs_siglip,0.0064605099837468,0.043167476276556,0.0145376865923483,0.021388557617550364,0.019288627969825188,0,False,False
caption_length,dinov2,mae,dinov2_vs_mae,0.0394584063298657,0.0158501649567195,0.0546765363218582,0.036661702536147804,0.01956368938692962,0,False,False
caption_length,siglip,dinov2,siglip_vs_dinov2,0.0210211876185496,0.0048448499837378,0.0143812142476764,0.013415750616654601,0.008131270800802082,0,False,False
caption_length,siglip,mae,siglip_vs_mae,0.0179592766680823,0.0140560721391644,0.0395036823827571,0.0238396770633346,0.013705092060391772,0,False,False
head_noun_min_depth,clip,dinov2,clip_vs_dinov2,0.0576138576669897,0.0018977366144408,0.020091004435369,0.026534199572266503,0.028411399278540916,0,False,False
head_noun_min_depth,clip,mae,clip_vs_mae,0.0031459987677764,0.0355111660143106,0.0021024756746042,0.013586546818897066,0.018994444721007708,0,False,False
head_noun_min_depth,clip,siglip,clip_vs_siglip,0.0081213779233523,0.0319786710855179,0.0366415546222377,0.02558053454370263,0.015298765739094616,0,False,False
head_noun_min_depth,dinov2,mae,dinov2_vs_mae,0.0506003110869765,0.044026853756009,0.0084087682059236,0.03434531101630303,0.022700898110790603,0,False,False
head_noun_min_depth,siglip,dinov2,siglip_vs_dinov2,0.052812818035612,0.028832525830187,0.0083905418720935,0.030011961912630832,0.02223461168969235,0,False,False
head_noun_min_depth,siglip,mae,siglip_vs_mae,0.0035217814886963,0.0083914273388049,0.0124387458161738,0.008117318214558333,0.004464797314926287,0,False,False
projective_density,clip,dinov2,clip_vs_dinov2,0.1567209166050475,0.1748873505616561,0.1504201861637488,0.1606761511101508,0.012704071922471373,3,True,False
projective_density,clip,mae,clip_vs_mae,0.1565882785705772,0.1751844969224565,0.1374249963081661,0.1563992572670666,0.01888045996394248,3,True,False
projective_density,clip,siglip,clip_vs_siglip,0.0896498073569591,0.0899701711466133,0.0206384313171512,0.06675280327357454,0.03993653883276507,0,False,False
projective_density,dinov2,mae,dinov2_vs_mae,0.0036889308448697,0.0042513450758387,0.0171416027134587,0.008360626211389034,0.0076097462959827935,0,False,False
projective_density,siglip,dinov2,siglip_vs_dinov2,0.0661611482763916,0.0930892659124775,0.1381567301844447,0.0991357147911046,0.036376649262970656,1,False,True
projective_density,siglip,mae,siglip_vs_mae,0.0648047487839311,0.0976489457268128,0.1153678719414702,0.0926071888174047,0.02565583443217722,1,False,True
scene_object_ratio,clip,dinov2,clip_vs_dinov2,0.0589647075919412,0.026665796567366,0.0054947762138893,0.030375093457732167,0.02692726411945809,0,False,False
scene_object_ratio,clip,mae,clip_vs_mae,0.0254902670174838,0.0513061720887934,0.0018559339856943,0.026217457697323834,0.02473313803032145,0,False,False
scene_object_ratio,clip,siglip,clip_vs_siglip,0.0852944236544218,0.0203922859227655,0.0289521428898723,0.04487961748901986,0.03526095866343667,0,False,False
scene_object_ratio,dinov2,mae,dinov2_vs_mae,0.0292124738449625,0.0513522779579082,0.0443158554265127,0.04162686907646113,0.011312193298957307,0,False,False
scene_object_ratio,siglip,dinov2,siglip_vs_dinov2,0.0056071801278512,0.0174014718637664,0.0014742972197413,0.008160983070452967,0.008264995773595418,0,False,False
scene_object_ratio,siglip,mae,siglip_vs_mae,0.035998445914173,0.0239025118876403,0.036773405725684,0.0322247878424991,0.007217710750575975,0,False,False
topological_density,clip,dinov2,clip_vs_dinov2,0.036384718039705,0.0038445668525532,0.0298906985906747,0.0233733278276443,0.01722127901950888,0,False,False
topological_density,clip,mae,clip_vs_mae,0.0105807142411943,0.0002708447636285,0.0082841181423207,0.006378559049047834,0.005412644340299565,0,False,False
topological_density,clip,siglip,clip_vs_siglip,0.0446412181901609,0.0045013668651472,0.0189460440024452,0.022696209685917762,0.020331003986244073,0,False,False
topological_density,dinov2,mae,dinov2_vs_mae,0.0194481774633315,0.0079465857882035,0.0176091810092004,0.015001314753578465,0.006178379849989162,0,False,False
topological_density,siglip,dinov2,siglip_vs_dinov2,0.0081042532639276,0.000651313085083,0.0487573617467472,0.019170976031919265,0.02589212706745604,0,False,False
topological_density,siglip,mae,siglip_vs_mae,0.029504591025461,0.011552318254354,0.033151340790665,0.024736083356826668,0.011562155623861233,0,False,False
vg_attr_precision,clip,dinov2,clip_vs_dinov2,0.0588137670785994,0.0282280403089802,0.0118150156798687,0.0329522743558161,0.023852870870335195,0,False,False
vg_attr_precision,clip,mae,clip_vs_mae,0.0108305926875403,0.0910068813834646,0.0947220005246236,0.0655198248652095,0.047398677351752204,0,False,False
vg_attr_precision,clip,siglip,clip_vs_siglip,0.0047080187801074,0.0135243973026134,0.0126496656042539,0.010294027228991566,0.004857355935000305,0,False,False
vg_attr_precision,dinov2,mae,dinov2_vs_mae,0.037267078603873,0.1408176762832606,0.1421151024562144,0.106733285781116,0.0601629976261348,0,False,False
vg_attr_precision,siglip,dinov2,siglip_vs_dinov2,0.0669383168299644,0.071165736615199,0.0040712862937936,0.047391779912985675,0.03757614462751592,0,False,False
vg_attr_precision,siglip,mae,siglip_vs_mae,0.0522663962763463,0.1422037234934297,0.115358567163089,0.10327622897762166,0.04616998894042735,0,False,False
vg_attr_recall,clip,dinov2,clip_vs_dinov2,0.0067850715592125,0.0106700742006423,0.0069318686388259,0.008129004799560233,0.0022018543597346384,0,False,False
vg_attr_recall,clip,mae,clip_vs_mae,0.0654554436526884,0.0418366906269872,0.0500134355702577,0.05243518994997776,0.011994167096094561,0,False,False
vg_attr_recall,clip,siglip,clip_vs_siglip,0.0024572530865728,0.0231072982681901,0.0077535921763581,0.011106047843707001,0.010725451540698126,0,False,False
vg_attr_recall,dinov2,mae,dinov2_vs_mae,0.065650358112274,0.041528249842058,0.0331336131809717,0.046770740378434573,0.016880386710613055,0,False,False
vg_attr_recall,siglip,dinov2,siglip_vs_dinov2,0.0026781146995354,0.0286026730086778,0.0178829520810121,0.0163879132630751,0.013026781516605893,0,False,False
vg_attr_recall,siglip,mae,siglip_vs_mae,0.05881351740429,0.0116104293032945,0.04092723601667,0.03711706090808484,0.02383109223968023,0,False,False
